"";"Aissa Laidouni";"Alex Kral";"Aljoscha Kemlein";"Brenden Aaronson";"Danilho Doekhi";"David Fofana";"Diogo Leite";"Frederik Ronnow";"Josip Juranovic";"Kevin Behrens";"Kevin Volland";"Leonardo Bonucci";"Lucas Tousart";"Paul Jaeckel";"Robin Gosens";"Sheraldo Becker"
"Aissa Laidouni";0;3;0;0;0;0;2;0;0;0;0;1;1;0;5;0
"Alex Kral";2;0;0;0;6;0;3;0;5;0;0;3;0;0;0;2
"Aljoscha Kemlein";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Brenden Aaronson";0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0
"Danilho Doekhi";0;0;0;1;0;0;1;1;6;0;0;1;2;0;0;1
"David Fofana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Diogo Leite";3;4;0;0;0;0;0;4;0;0;1;3;3;0;4;0
"Frederik Ronnow";0;2;0;0;2;0;1;0;1;0;0;2;3;0;1;0
"Josip Juranovic";0;2;0;0;2;1;1;0;0;0;1;3;1;0;0;3
"Kevin Behrens";3;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"Kevin Volland";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Leonardo Bonucci";2;0;0;0;1;0;2;3;1;1;0;0;3;0;2;0
"Lucas Tousart";1;4;0;1;2;0;2;1;1;0;0;3;0;0;2;1
"Paul Jaeckel";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Robin Gosens";5;0;1;1;0;0;5;2;0;3;0;1;2;0;0;0
"Sheraldo Becker";0;0;0;2;0;0;0;0;2;1;0;0;1;0;0;0
