"";"Alireza Jahanbakhsh";"Ayase Ueda";"Bart Nieuwkoop";"Calvin Stengs";"David Hancko";"Igor Paixao";"Justin Bijlow";"Luka Ivanusec";"Lutsharel Geertruida";"Marcos Lopez";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Santiago Gimenez"
"Alireza Jahanbakhsh";0;0;0;1;2;0;0;0;0;3;2;0;0;3;2;0
"Ayase Ueda";1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"Bart Nieuwkoop";0;0;0;2;0;0;1;0;8;0;6;0;0;0;2;0
"Calvin Stengs";0;0;0;0;0;1;0;0;0;2;5;0;1;4;4;3
"David Hancko";1;0;0;0;0;3;14;2;17;0;3;0;24;1;5;2
"Igor Paixao";0;0;1;1;1;0;1;0;1;0;0;0;8;0;1;1
"Justin Bijlow";0;0;0;0;15;0;0;0;17;0;2;0;0;0;3;0
"Luka Ivanusec";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0
"Lutsharel Geertruida";1;0;6;3;22;0;11;0;0;6;8;0;1;2;10;0
"Marcos Lopez";2;1;0;1;1;0;1;0;3;0;5;0;0;0;1;0
"Mats Wieffer";1;0;2;12;4;1;0;0;8;2;0;0;4;2;6;1
"Ondrej Lingr";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Quilindschy Hartman";3;0;0;0;15;4;6;1;3;1;1;0;0;5;8;0
"Quinten Timber";2;0;0;2;1;3;0;2;1;0;0;0;1;0;3;1
"Ramiz Zerrouki";1;0;5;3;6;1;2;0;8;2;9;0;5;4;0;1
"Santiago Gimenez";0;0;1;1;0;0;0;0;2;0;2;0;0;1;0;0
