"";"Anthony Gordon";"Bruno Guimaraes";"Callum Wilson";"Fabian Schar";"Jamaal Lascelles";"Joe Willock";"Joelinton";"Kieran Trippier";"Lewis Hall";"Lewis Miley";"Miguel Almiron";"Nick Pope";"Sean Longstaff";"Tino Livramento"
"Anthony Gordon";0;0;0;1;0;0;1;1;0;0;1;0;2;0
"Bruno Guimaraes";0;0;0;4;3;0;6;11;2;0;0;0;4;5
"Callum Wilson";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Fabian Schar";1;5;0;0;4;5;4;13;7;0;1;1;3;5
"Jamaal Lascelles";0;4;0;14;0;2;1;10;0;0;3;0;3;4
"Joe Willock";1;2;0;3;1;0;6;5;1;0;0;0;0;0
"Joelinton";2;7;0;1;0;10;0;4;2;0;3;0;2;1
"Kieran Trippier";1;8;2;7;11;4;10;0;1;0;6;0;7;3
"Lewis Hall";0;3;0;4;0;2;3;1;0;0;0;0;0;0
"Lewis Miley";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miguel Almiron";0;2;0;1;2;2;1;0;0;0;0;0;3;1
"Nick Pope";0;0;0;4;0;0;0;2;0;0;0;0;0;3
"Sean Longstaff";0;2;0;1;4;0;0;6;1;0;2;1;0;7
"Tino Livramento";4;1;0;3;6;0;2;0;0;0;5;0;4;0
