"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Caglar Soyuncu";"Cesar Azpilicueta";"Jan Oblak";"Jose Gimenez";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Pablo Barrios ";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez"
"Alvaro Morata";0;1;4;0;1;0;0;0;0;0;2;2;2;1;2;0
"Angel Correa";2;0;4;0;0;3;0;0;5;3;0;5;4;3;0;0
"Antoine Griezmann";1;4;0;0;0;0;0;3;8;0;13;3;4;9;0;0
"Axel Witsel";0;4;1;0;3;15;2;11;13;4;7;25;5;0;0;2
"Caglar Soyuncu";0;0;0;2;0;0;1;0;3;0;9;0;0;0;1;1
"Cesar Azpilicueta";0;1;0;8;1;0;0;1;11;10;0;0;0;0;1;1
"Jan Oblak";0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0
"Jose Gimenez";1;0;1;14;0;0;0;0;7;0;12;2;1;3;2;0
"Koke";1;3;12;27;3;9;0;4;0;12;25;7;6;0;3;3
"Marcos Llorente";0;6;1;7;0;3;0;0;11;0;2;2;0;0;0;1
"Mario Hermoso";6;0;14;5;4;0;0;15;24;1;0;1;1;16;13;4
"Nahuel Molina";2;12;2;14;0;0;2;0;13;7;0;0;8;1;0;0
"Pablo Barrios ";1;4;2;6;0;0;0;0;5;0;3;4;0;1;0;0
"Rodrigo Riquelme";1;3;15;0;0;0;0;0;3;0;8;0;1;0;0;0
"Samuel Lino";2;0;0;0;2;1;0;2;5;0;10;0;0;0;0;5
"Saul Niguez";2;1;0;2;1;0;0;0;2;0;6;1;0;0;2;0
