"";"Achraf Hakimi";"Beraldo";"Bradley Barcola";"Danilo Pereira";"Fabian Ruiz";"Gianluigi Donnarumma";"Kylian Mbappe";"Lucas Hernandez";"Marco Asensio";"Marquinhos";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;1;0;4;11;1;1;0;4;10;18;0;9;13
"Beraldo";1;0;9;12;6;3;3;7;1;8;0;0;13;0
"Bradley Barcola";1;1;0;1;3;1;1;0;0;0;0;0;4;0
"Danilo Pereira";5;15;0;0;4;8;0;0;0;13;1;0;4;1
"Fabian Ruiz";8;12;1;8;0;2;7;2;1;3;4;0;6;3
"Gianluigi Donnarumma";4;5;0;5;0;0;0;0;0;7;0;0;2;1
"Kylian Mbappe";1;1;2;0;4;0;0;0;1;0;2;0;3;1
"Lucas Hernandez";0;6;0;0;4;1;0;0;0;1;4;1;2;0
"Marco Asensio";3;1;0;0;0;0;1;0;0;2;0;0;1;0
"Marquinhos";19;6;0;8;6;10;1;1;1;0;2;0;2;3
"Ousmane Dembele";6;2;0;0;3;0;5;0;0;0;0;0;4;1
"Randal Kolo Muani";0;0;0;0;1;0;0;0;0;0;0;0;1;1
"Vitinha Ferreira";9;9;6;2;6;2;4;4;1;3;1;1;0;4
"Warren Zaire-Emery";10;2;0;4;4;0;1;0;0;4;4;1;1;0
