"";"Armando Obispo";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Mauro Junior ";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez"
"Armando Obispo";0;0;0;2;0;0;0;0;0;0;0;0;3;0
"Hirving Lozano";0;0;5;1;6;0;0;0;2;0;3;0;6;1
"Ismael Saibari";0;2;0;1;1;1;2;2;4;0;2;0;4;0
"Jerdy Schouten";1;1;4;0;6;9;13;2;7;0;16;0;3;5
"Joey Veerman";1;7;2;14;0;5;5;1;5;0;8;1;10;2
"Johan Bakayoko";1;2;3;2;5;0;9;1;3;0;0;0;1;0
"Jordan Teze";0;1;5;4;6;11;0;1;3;0;2;0;0;2
"Luuk de Jong";0;1;1;0;3;1;1;0;2;0;1;0;1;0
"Malik Tillman";0;3;0;4;4;4;3;1;0;0;1;0;0;0
"Mauro Junior ";1;0;0;0;0;1;0;0;0;0;0;1;2;0
"Olivier Boscagli";0;3;0;14;9;1;1;1;2;0;0;0;15;6
"Ricardo Pepi";0;0;0;0;1;0;0;0;1;1;0;0;2;1
"Sergino Dest";0;9;3;6;8;0;0;0;2;1;10;5;0;2
"Walter Benitez";0;1;0;9;5;0;1;0;0;0;4;0;4;0
