"";"Alessandro Bastoni";"Benjamin Pavard";"Davide Frattesi";"Denzel Dumfries";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Bisseck";"Yann Sommer"
"Alessandro Bastoni";0;2;0;0;11;0;12;4;0;3;0;9;11;0;9
"Benjamin Pavard";1;0;0;10;0;1;7;1;0;0;1;8;8;0;4
"Davide Frattesi";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Denzel Dumfries";0;6;0;0;0;0;1;0;2;0;0;3;1;0;2
"Federico Dimarco";6;0;0;0;0;1;7;4;1;0;1;3;2;0;3
"Francesco Acerbi";0;0;0;0;2;0;0;0;0;1;2;1;0;0;2
"Hakan Calhanoglu";13;3;1;4;4;1;0;14;3;3;2;11;18;0;4
"Henrikh Mkhitaryan";7;2;0;0;4;0;9;0;1;1;0;9;6;0;4
"Lautaro Martinez";0;0;1;0;1;0;1;4;0;6;0;4;0;0;0
"Marcus Thuram";0;0;0;0;0;1;5;1;1;0;0;4;0;0;0
"Matteo Darmian";0;2;0;0;0;2;0;0;2;0;0;1;0;0;0
"Nicolo Barella";7;3;0;0;6;1;14;5;5;3;0;0;12;0;2
"Stefan de Vrij";13;14;0;1;0;0;17;5;1;4;0;5;0;0;7
"Yann Bisseck";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Yann Sommer";7;6;0;0;3;1;4;5;1;0;0;5;8;0;0
