"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Josko Gvardiol";"Kevin De Bruyne";"Kyle Walker";"Manuel Akanji";"Phil Foden";"Rodri";"Ruben Dias"
"Bernardo Silva";0;1;2;7;0;3;7;6;3;2;12;3
"Ederson";0;0;0;0;0;3;0;6;5;1;3;3
"Erling Haaland";0;0;0;1;0;0;1;0;0;2;1;0
"Jack Grealish";10;0;0;0;0;6;5;0;2;2;7;1
"Jeremy Doku";0;0;0;0;0;1;0;0;4;2;5;1
"Josko Gvardiol";4;1;2;9;4;0;5;5;9;3;19;20
"Kevin De Bruyne";5;0;0;5;1;4;0;6;7;5;7;0
"Kyle Walker";4;4;3;1;1;4;7;0;16;15;18;14
"Manuel Akanji";4;5;3;2;1;5;8;4;0;4;20;16
"Phil Foden";4;0;0;1;2;1;10;7;4;0;12;1
"Rodri";10;1;0;6;2;19;8;22;10;8;0;17
"Ruben Dias";4;7;0;4;4;31;1;12;12;2;13;0
